country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",17-04-2026 19:00,23.076793,72.627874,OZONE,8,87,66
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",17-04-2026 19:00,21.613267,73.010555,CO,32,51,38
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",17-04-2026 19:00,21.613267,73.010555,OZONE,14,52,31
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",17-04-2026 19:00,21.755417,72.139056,PM2.5,18,68,45
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",17-04-2026 19:00,21.755417,72.139056,NO2,60,78,67
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",17-04-2026 19:00,23.163798,72.677768,PM10,129,254,162
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",17-04-2026 19:00,23.163798,72.677768,NO2,18,74,34
India,Gujarat,Gandhinagar,"GIFT City, Gandhinagar - IITM",17-04-2026 19:00,23.163798,72.677768,NH3,5,12,7
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",17-04-2026 19:00,23.243639,72.68994,PM10,74,134,101
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",17-04-2026 19:00,23.243639,72.68994,SO2,2,50,11
India,Gujarat,Vadodara,"Bapunagar, Vadodara - Nexteng Enviro",17-04-2026 19:00,22.320153,73.216285,SO2,5,11,7
India,Gujarat,Vapi,"Phase-1 GIDC, Vapi - GPCB",17-04-2026 19:00,20.362421,72.918013,OZONE,4,30,22
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",17-04-2026 19:00,22.969611,72.6435,CO,18,73,31
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",17-04-2026 19:00,30.379589,76.778328,PM2.5,74,241,145
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",17-04-2026 19:00,30.379589,76.778328,NH3,7,8,8
India,Haryana,Ambala,"Patti Mehar, Ambala - HSPCB",17-04-2026 19:00,30.379589,76.778328,CO,22,48,28
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",17-04-2026 19:00,28.6701,76.9254,PM2.5,113,163,136
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",17-04-2026 19:00,28.6701,76.9254,SO2,5,7,6
